case,band_hz,source_peak,source_peak_db,source_rms,source_rms_db,band_peak,band_peak_db,band_peak_minus_source_peak_db,band_rms,band_rms_db,band_power_fraction,exceeds_source_peak,note
Unit impulse,2000.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.07694813771217605,-22.27603772876508,-22.27603772876508,0.0002491626179543107,-72.0703422927425,0.059598729778411956,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,4000.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.15389627546123655,-16.255437813403702,-16.255437813403702,0.00035236915354737225,-69.06004233610268,0.11919745955682393,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,8000.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.30779255094091545,-10.234837899603637,-10.234837899603637,0.0004983252359086215,-66.04974237946287,0.2383949191136479,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,16000.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.5156045006950724,-5.753666007191013,-5.753666007191013,0.0006742432410570481,-63.42366796865724,0.4364197901866681,False,Worst-case broadband transient for impulse-response behaviour.
Unit impulse,32000.0,1.0,0.0,0.0010206207261596577,-59.82271233039568,0.15169535092946357,-16.38055458026001,-16.38055458026001,0.00030067696464609195,-70.43799685270847,0.08679037158603574,False,Worst-case broadband transient for impulse-response behaviour.
Clipped 62.5 Hz square,Full Spectrum,1.0,0.0,0.999999479166531,-4.523903209817419e-06,1.0,0.0,0.0,0.999999479166531,-4.523903209817419e-06,0.9999999999999999,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,4.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.0014988054978642023,-56.48509445023965,-56.48509445023965,0.000441439412223722,-67.10257790254626,1.9486895765292272e-07,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,8.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.0024786749340165093,-52.11560850151037,-52.11560850151037,0.0003827732197876587,-68.34116909320642,1.465154904069138e-07,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,16.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.0022674391790286214,-52.88928706940597,-52.88928706940597,0.0005273671796682327,-65.55773803436728,2.781164318958426e-07,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,31.25,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.0036556575034497715,-48.740689996890524,-48.740689996890524,0.0007859225258336392,-62.09240526906636,6.176748600240399e-07,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,62.5,1.0,0.0,0.999999479166531,-4.523903209817419e-06,1.2750636588213626,2.110637357904372,2.110637357904372,0.9003175889690257,-0.9120853043945488,0.8105726053534634,True,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
