case,case_type,tone_frequency_hz,target_band_hz,band_rms,band_rms_dbfs,band_power_percent,max_peak_dbfs,median_rms_dbfs,median_crest_factor_db,valid_windows
upper_transition_250_500hz,upper_transition,353.5533905932738,16.0,0.0008133603177271712,-61.7943403960054,0.0002067399540680344,-35.31338837067934,-120.04286392726036,21.708884347475063,2
upper_transition_250_500hz,upper_transition,353.5533905932738,31.25,0.0011543506924151354,-58.75324464434393,0.00041642231157672965,-29.268141636494683,-125.77625618223314,24.710497036948894,2
upper_transition_250_500hz,upper_transition,353.5533905932738,62.5,0.0016988227893222317,-55.39703843360708,0.0009018921599941808,-22.830811228417964,-131.7675553473711,27.78158867961177,2
upper_transition_250_500hz,upper_transition,353.5533905932738,125.0,0.0028207397596128887,-50.992739596832884,0.002486477280649028,-15.260609573183157,-136.91634669331722,30.90411249663388,2
upper_transition_250_500hz,upper_transition,353.5533905932738,250.0,0.3999692617472665,-7.9594676717655215,49.993286519845185,-4.343312116990125,-7.9589653881894105,3.0104706431919785,11
screen_center_500hz,out_of_lfe,500.0,8.0,2.4544473163342442e-15,-292.2009257082012,1.8825973823365586e-27,-279.9199028538396,-300.1273993282716,nan,0
screen_center_500hz,out_of_lfe,500.0,16.0,1.9282638154794275e-15,-294.29667096707766,1.1619379184025302e-27,-279.91151660905865,-300.0405089384991,nan,0
screen_center_500hz,out_of_lfe,500.0,31.25,2.8411067283028895e-15,-290.93024902746043,2.5224648233321263e-27,-279.2372673978597,-291.62958320877584,nan,0
screen_center_500hz,out_of_lfe,500.0,62.5,6.226227256099428e-15,-284.11550063398,1.2114345566012744e-26,-270.6303536193313,-284.83515397004066,nan,0
screen_center_500hz,out_of_lfe,500.0,125.0,1.487776467884778e-14,-276.5492462959189,6.917121301522513e-26,-262.4623991383465,-278.7223684244747,nan,0
screen_center_500hz,out_of_lfe,500.0,250.0,1.571635514518491e-14,-276.07296331844236,7.718869338657978e-26,-262.2660727822977,-276.6998949414156,nan,0
screen_center_1000hz,out_of_lfe,1000.0,8.0,5.299076326979417e-15,-285.5159964987595,8.775065564760714e-27,-279.8475005328402,-285.37179707957836,nan,0
screen_center_1000hz,out_of_lfe,1000.0,16.0,7.876184943418033e-15,-282.0736818919102,1.9385715317398328e-26,-273.1090307045563,-281.8857341375651,nan,0
screen_center_1000hz,out_of_lfe,1000.0,31.25,6.565808645290705e-15,-283.65423557104714,1.3471825935859726e-26,-273.2254818290594,-282.4054081428658,nan,0
screen_center_1000hz,out_of_lfe,1000.0,62.5,8.83639405916351e-15,-281.07449849995896,2.440058114300283e-26,-268.1116150277517,-281.3185856194702,nan,0
screen_center_1000hz,out_of_lfe,1000.0,125.0,2.3610812626918962e-14,-272.5377813060211,1.7420952208798875e-25,-259.6532810937153,-273.50636881034654,nan,0
screen_center_1000hz,out_of_lfe,1000.0,250.0,6.518141073602222e-14,-263.71752488470815,1.3276925901888469e-24,-252.6554111425677,-264.8304724981549,nan,0
sub_residual_4hz,below_lfe_targets,4.0,8.0,6.358978256378477e-11,-203.93225320044093,1.263643888327224e-18,-200.92194245671706,-203.93225325664503,nan,0
sub_residual_4hz,below_lfe_targets,4.0,16.0,1.1249163596282635e-10,-198.97759534487082,3.9544900467206895e-18,-194.3136277295796,-198.97759535717813,nan,0
sub_residual_4hz,below_lfe_targets,4.0,31.25,1.8529764074490378e-10,-194.64260220379936,1.0729754885260029e-17,-188.57567664909848,-194.6426021939833,nan,0
sub_residual_4hz,below_lfe_targets,4.0,62.5,4.705842515004197e-10,-186.5472522189717,6.920298048396635e-17,-180.16248883770533,-186.5472522205104,nan,0
sub_residual_4hz,below_lfe_targets,4.0,125.0,6.794134513582472e-10,-183.3573171801461,1.4425082420175777e-16,-173.98371897391706,-183.35731718038818,nan,0
sub_residual_4hz,below_lfe_targets,4.0,250.0,1.5052493633221722e-09,-176.44783095630072,7.080548886305142e-16,-167.49865474802746,-176.44783095717224,nan,0
